class,spec,spec_id,spell_id,name,aura_type,applications,players,self_pct,single_pct,group_pct,other_pct,recast_median_s,first_seen,last_seen,category,suggested_category,rule
DEATHKNIGHT,Blood,250,1252524,Blessing of the Capybara,BUFF,65,4,100.0,0.0,0.0,0.0,55.36,2026-04-04,2026-09-20,,consumables,R8
DEATHKNIGHT,Blood,250,1272350,Blessing of Zeal,BUFF,18,2,100.0,0.0,0.0,0.0,3602.9,2026-08-21,2026-08-25,,consumables,R8
DEATHKNIGHT,Blood,250,1274177,Blessing: Victorious Growth,BUFF,3,1,100.0,0.0,0.0,0.0,,2026-04-14,2026-09-07,,utility,R9
DEATHKNIGHT,Blood,250,1271199,Blighted,BUFF,10,1,100.0,0.0,0.0,0.0,6.88,2026-04-26,2026-04-26,,utility,R9
DEATHKNIGHT,Blood,250,207167,Blinding Sleet,DEBUFF,3477,49,0.0,0.0,0.0,100.0,242.91,2026-02-15,2026-09-24,hardCC,,
DEATHKNIGHT,Blood,250,460605,Blood Beast,BUFF,570,42,100.0,0.0,0.0,0.0,98.7,2026-03-22,2026-09-22,,consumables,R8
DEATHKNIGHT,Blood,250,1310372,Blood Debt,BUFF,1605,27,100.0,0.0,0.0,0.0,73.06,2026-08-22,2026-09-24,,offensiveCDs,R3
DEATHKNIGHT,Blood,250,454871,Blood Draw,BUFF,928,56,100.0,0.0,0.0,0.0,258.04,2026-03-13,2026-09-24,,defensives,R1
DEATHKNIGHT,Blood,250,160331,Blood Elf Illusion,BUFF,1,1,100.0,0.0,0.0,0.0,,2026-03-22,2026-03-22,,consumables,R8
DEATHKNIGHT,Blood,250,20572,Blood Fury,BUFF,17,2,100.0,0.0,0.0,0.0,150.77,2026-04-04,2026-09-20,,utility,R9
DEATHKNIGHT,Blood,250,1263729,Blood Mist,BUFF,2288,44,100.0,0.0,0.0,0.0,119.86,2026-02-14,2026-09-24,,utility,R9
DEATHKNIGHT,Blood,250,55078,Blood Plague,DEBUFF,86900,74,0.0,0.0,0.0,100.0,3.0,2026-02-14,2026-09-24,,,
DEATHKNIGHT,Blood,250,77535,Blood Shield,BUFF,32071,74,100.0,0.0,0.0,0.0,8.43,2026-02-14,2026-09-24,activeMitigation,defensives,R1
DEATHKNIGHT,Blood,250,434034,Blood-Soaked Ground,BUFF,5448,34,100.0,0.0,0.0,0.0,9.25,2026-03-28,2026-09-22,,defensives,R1
DEATHKNIGHT,Blood,250,460499,Bloodied Blade,BUFF,2752,66,100.0,0.0,0.0,0.0,33.12,2026-02-14,2026-09-23,,utility,R9
DEATHKNIGHT,Blood,250,460500,Bloodied Blade,BUFF,1618,64,100.0,0.0,0.0,0.0,40.29,2026-02-14,2026-09-23,,utility,R9
DEATHKNIGHT,Blood,250,1301231,Bloodletting,DEBUFF,203,7,100.0,0.0,0.0,0.0,3.15,2026-08-22,2026-09-19,,,
DEATHKNIGHT,Blood,250,1307531,Bloodletting,DEBUFF,92,7,100.0,0.0,0.0,0.0,11.61,2026-08-22,2026-09-19,,,
DEATHKNIGHT,Blood,250,1265968,Boiling Point,BUFF,13300,71,100.0,0.0,0.0,0.0,19.12,2026-02-14,2026-09-24,,activeMitigation,R7
DEATHKNIGHT,Blood,250,1265982,Boiling Point,BUFF,12380,71,100.0,0.0,0.0,0.0,20.33,2026-02-14,2026-09-24,,activeMitigation,R7
DEATHKNIGHT,Blood,250,195181,Bone Shield,BUFF,2351,74,100.0,0.0,0.0,0.0,72.95,2026-02-14,2026-09-24,activeMitigation,utility,R9
DEATHKNIGHT,Blood,250,383926,Bound by Fire and Blaze,BUFF,12,3,100.0,0.0,0.0,0.0,156.58,2026-09-13,2026-09-14,,consumables,R8
DEATHKNIGHT,Blood,250,374557,Brittle,DEBUFF,67655,74,0.0,0.0,0.0,100.0,1.71,2026-02-14,2026-09-24,,,
DEATHKNIGHT,Blood,250,1292300,Brittle Torga Totem,BUFF,10,1,100.0,0.0,0.0,0.0,123.6,2026-09-11,2026-09-11,,consumables,R8
DEATHKNIGHT,Blood,250,291843,Brush It Off,BUFF,179,2,100.0,0.0,0.0,0.0,21.48,2026-02-14,2026-08-22,,activeMitigation,R7
DEATHKNIGHT,Blood,250,1239428,Carrying Supplies,DEBUFF,6,4,100.0,0.0,0.0,0.0,,2026-03-13,2026-09-18,,,
DEATHKNIGHT,Blood,250,45524,Chains of Ice,DEBUFF,319,11,0.0,0.0,0.0,100.0,50.61,2026-02-15,2026-09-23,softCC,,
DEATHKNIGHT,Blood,250,444826,Chains of Ice,DEBUFF,6,1,0.0,0.0,0.0,100.0,4.11,2026-04-26,2026-04-26,,,
DEATHKNIGHT,Blood,250,444828,Chains of Ice,DEBUFF,5,1,0.0,0.0,0.0,100.0,4.11,2026-04-26,2026-04-26,,,
DEATHKNIGHT,Blood,250,1259633,Charge!,BUFF,33,3,100.0,0.0,0.0,0.0,102.85,2026-05-01,2026-07-25,,consumables,R8
DEATHKNIGHT,Blood,250,447446,Cherry Blossom Trail,BUFF,1,1,100.0,0.0,0.0,0.0,,2026-09-20,2026-09-20,,consumables,R8
DEATHKNIGHT,Blood,250,466810,Chromebustible Bomb Suit,BUFF,35,1,100.0,0.0,0.0,0.0,122.67,2026-02-15,2026-02-26,,defensives,R1
DEATHKNIGHT,Blood,250,1241569,Clawing Shadows,BUFF,1,1,100.0,0.0,0.0,0.0,,2026-04-26,2026-04-26,,utility,R9
DEATHKNIGHT,Blood,250,463730,Coagulating Blood,BUFF,30689,74,100.0,0.0,0.0,0.0,14.42,2026-02-14,2026-09-24,,activeMitigation,R7
DEATHKNIGHT,Blood,250,391481,Coagulopathy,BUFF,4136,74,100.0,0.0,0.0,0.0,52.48,2026-02-14,2026-09-24,,utility,R9
DEATHKNIGHT,Blood,250,1254514,Coalesced Jelly,BUFF,60,4,100.0,0.0,0.0,0.0,279.15,2026-03-18,2026-05-11,,defensives,R1
DEATHKNIGHT,Blood,250,390271,Coil of Devastation,DEBUFF,8,1,0.0,0.0,0.0,100.0,4.4,2026-04-26,2026-04-26,,,
DEATHKNIGHT,Blood,250,313424,Combat Analysis,BUFF,2,1,100.0,0.0,0.0,0.0,650.03,2026-04-26,2026-04-26,,utility,R9
DEATHKNIGHT,Blood,250,390260,Commander of the Dead,BUFF,2,1,100.0,0.0,0.0,0.0,45.08,2026-04-26,2026-04-26,,utility,R9
DEATHKNIGHT,Blood,250,390264,Commander of the Dead,BUFF,39,1,0.0,0.0,0.0,100.0,1.54,2026-04-26,2026-04-26,,,
DEATHKNIGHT,Blood,250,1250611,Console Power,DEBUFF,11,2,100.0,0.0,0.0,0.0,,2026-03-14,2026-08-06,,,
DEATHKNIGHT,Blood,250,1263824,Consumption,BUFF,97,7,100.0,0.0,0.0,0.0,61.73,2026-02-15,2026-09-23,,utility,R9
DEATHKNIGHT,Blood,250,1263861,Consumption,BUFF,97,7,100.0,0.0,0.0,0.0,61.73,2026-02-15,2026-09-23,,defensives,R1
DEATHKNIGHT,Blood,250,1296565,Corrosive Venom,DEBUFF,86,1,0.0,0.0,0.0,100.0,9.37,2026-09-14,2026-09-14,,,
DEATHKNIGHT,Blood,250,73313,Crimson Deathcharger,BUFF,2,1,100.0,0.0,0.0,0.0,541.7,2026-03-30,2026-03-30,,utility,R9
DEATHKNIGHT,Blood,250,412912,Crimson Legend's Pennant,BUFF,1,1,100.0,0.0,0.0,0.0,,2026-09-20,2026-09-20,,consumables,R8
DEATHKNIGHT,Blood,250,81141,Crimson Scourge,BUFF,8690,74,100.0,0.0,0.0,0.0,33.9,2026-02-14,2026-09-24,,utility,R9
DEATHKNIGHT,Blood,250,1295899,Critical Ritual,BUFF,97,7,100.0,0.0,0.0,0.0,76.58,2026-09-08,2026-09-23,,consumables,R8
DEATHKNIGHT,Blood,250,1264407,Dance of Midnight,BUFF,11657,71,100.0,0.0,0.0,0.0,30.25,2026-03-13,2026-09-24,,utility,R9
DEATHKNIGHT,Blood,250,1264568,Dance of Midnight,BUFF,12605,70,100.0,0.0,0.0,0.0,35.66,2026-03-13,2026-09-24,,utility,R9
DEATHKNIGHT,Blood,250,81256,Dancing Rune Weapon,BUFF,11716,73,100.0,0.0,0.0,0.0,40.85,2026-02-14,2026-09-24,,utility,R9
DEATHKNIGHT,Blood,250,56222,Dark Command,DEBUFF,2364,66,0.0,0.0,0.0,100.0,85.02,2026-02-14,2026-09-24,,,
DEATHKNIGHT,Blood,250,101568,Dark Succor,BUFF,2,1,100.0,0.0,0.0,0.0,59.96,2026-04-26,2026-04-26,,utility,R9
DEATHKNIGHT,Blood,250,1233448,Dark Transformation,BUFF,2,1,0.0,0.0,0.0,100.0,45.08,2026-04-26,2026-04-26,,,
DEATHKNIGHT,Blood,250,1235391,Dark Transformation,BUFF,2,1,100.0,0.0,0.0,0.0,45.08,2026-04-26,2026-04-26,,utility,R9
DEATHKNIGHT,Blood,250,68992,Darkflight,BUFF,2,1,100.0,0.0,0.0,0.0,262.44,2026-04-06,2026-04-06,,movement,R4
DEATHKNIGHT,Blood,250,327095,Death,DEBUFF,136,5,0.0,0.0,0.0,100.0,3.24,2026-03-30,2026-09-20,,,
DEATHKNIGHT,Blood,250,188290,Death and Decay,BUFF,64303,74,100.0,0.0,0.0,0.0,7.49,2026-02-14,2026-09-24,,utility,R9
DEATHKNIGHT,Blood,250,53822,Death Gate,BUFF,2,1,100.0,0.0,0.0,0.0,2804.02,2026-09-07,2026-09-07,,utility,R9
DEATHKNIGHT,Blood,250,51399,Death Grip,DEBUFF,3973,73,0.0,0.0,0.0,100.0,28.63,2026-02-14,2026-09-24,,,
DEATHKNIGHT,Blood,250,48743,Death Pact,DEBUFF,27,9,100.0,0.0,0.0,0.0,202.67,2026-07-06,2026-09-21,,,
DEATHKNIGHT,Blood,250,48265,Death's Advance,BUFF,3652,74,100.0,0.0,0.0,0.0,66.64,2026-02-14,2026-09-24,,movement,R4
DEATHKNIGHT,Blood,250,1295123,Debilitating Venom,DEBUFF,25,4,100.0,0.0,0.0,0.0,143.63,2026-08-19,2026-09-16,,,
DEATHKNIGHT,Blood,250,1261781,Defensive Stance,DEBUFF,53,5,100.0,0.0,0.0,0.0,25.53,2026-08-19,2026-09-18,,,
DEATHKNIGHT,Blood,250,431949,Delicate Silk Parasol,BUFF,2,1,100.0,0.0,0.0,0.0,,2026-03-19,2026-08-22,,consumables,R8
DEATHKNIGHT,Blood,250,1246363,Delver's Bounty,BUFF,3,1,100.0,0.0,0.0,0.0,,2026-02-15,2026-02-26,,consumables,R8
DEATHKNIGHT,Blood,250,113942,Demonic Gateway,DEBUFF,15,6,100.0,0.0,0.0,0.0,383.23,2026-04-04,2026-09-22,,,
DEATHKNIGHT,Blood,250,1214730,Demonic Gateway,DEBUFF,32,7,100.0,0.0,0.0,0.0,55.94,2026-03-13,2026-09-20,,,
DEATHKNIGHT,Blood,250,1214740,Demonic Gateway,DEBUFF,32,7,100.0,0.0,0.0,0.0,55.94,2026-03-13,2026-09-20,,,
DEATHKNIGHT,Blood,250,460536,Depleted Starlight,DEBUFF,2,1,100.0,0.0,0.0,0.0,,2026-02-21,2026-02-26,,,
DEATHKNIGHT,Blood,250,1265327,Desecrated Aura,BUFF,42,2,100.0,0.0,0.0,0.0,130.06,2026-09-07,2026-09-18,,consumables,R8
DEATHKNIGHT,Blood,250,1265323,Despair,BUFF,45,2,100.0,0.0,0.0,0.0,125.52,2026-09-07,2026-09-18,,consumables,R8
DEATHKNIGHT,Blood,250,1305376,Devoured Strength,BUFF,12,1,100.0,0.0,0.0,0.0,96.4,2026-09-20,2026-09-20,,consumables,R8
DEATHKNIGHT,Blood,250,1218508,Disguised,DEBUFF,15,8,100.0,0.0,0.0,0.0,,2026-03-13,2026-09-20,,,
DEATHKNIGHT,Blood,250,1250609,Diverting Power...,BUFF,11,2,0.0,0.0,0.0,100.0,,2026-03-14,2026-08-06,,consumables,R8
DEATHKNIGHT,Blood,250,1237842,Drain Shield,BUFF,18,7,0.0,0.0,0.0,100.0,1.23,2026-03-14,2026-08-10,,consumables,R8
DEATHKNIGHT,Blood,250,1240996,Dread Plague,DEBUFF,9,1,0.0,0.0,0.0,100.0,9.86,2026-04-26,2026-04-26,,,
DEATHKNIGHT,Blood,250,1269918,Drink,BUFF,6,3,100.0,0.0,0.0,0.0,70.85,2026-04-17,2026-08-10,,consumables,R8
DEATHKNIGHT,Blood,250,1303338,Drink,BUFF,10,1,100.0,0.0,0.0,0.0,35.6,2026-08-23,2026-09-14,,consumables,R8
DEATHKNIGHT,Blood,250,1254331,Echoing Roar,BUFF,19,1,100.0,0.0,0.0,0.0,77.06,2026-08-31,2026-08-31,,consumables,R8
DEATHKNIGHT,Blood,250,452146,Egg Sac,BUFF,7,1,100.0,0.0,0.0,0.0,154.85,2026-02-14,2026-02-14,,consumables,R8
DEATHKNIGHT,Blood,250,292361,Embrace of Pa'ku,BUFF,2,1,100.0,0.0,0.0,0.0,25.48,2026-09-12,2026-09-12,,consumables,R8
DEATHKNIGHT,Blood,250,292463,Embrace of Pa'ku,BUFF,8,1,100.0,0.0,0.0,0.0,44.13,2026-09-12,2026-09-12,,consumables,R8
DEATHKNIGHT,Blood,250,1293316,Empowering Venom,BUFF,26,4,100.0,0.0,0.0,0.0,144.64,2026-08-19,2026-09-16,,consumables,R8
DEATHKNIGHT,Blood,250,392490,Enfeeble,DEBUFF,44,5,0.0,0.0,0.0,100.0,15.62,2026-04-26,2026-09-16,,,
DEATHKNIGHT,Blood,250,1224312,Entertained,BUFF,20,3,0.0,0.0,100.0,0.0,14.99,2026-08-25,2026-09-13,,consumables,R8
DEATHKNIGHT,Blood,250,256374,Entropic Embrace,BUFF,3865,4,100.0,0.0,0.0,0.0,51.06,2026-02-15,2026-09-24,,utility,R9
DEATHKNIGHT,Blood,250,433925,Essence of the Blood Queen,BUFF,549,42,100.0,0.0,0.0,0.0,77.7,2026-03-22,2026-09-22,,offensiveCDs,R3
DEATHKNIGHT,Blood,250,1264144,Eternal Eggshell,BUFF,54,1,100.0,0.0,0.0,0.0,17.92,2026-04-10,2026-04-10,,defensives,R1
DEATHKNIGHT,Blood,250,1223614,Ethereal Barricade,BUFF,6,1,100.0,0.0,0.0,0.0,432.01,2026-02-15,2026-02-26,,defensives,R1
DEATHKNIGHT,Blood,250,1223612,Ethereal Barrier,BUFF,170,3,100.0,0.0,0.0,0.0,36.3,2026-02-14,2026-02-26,,defensives,R1
DEATHKNIGHT,Blood,250,1223611,Ethereal Exhaustion,DEBUFF,6,1,100.0,0.0,0.0,0.0,432.01,2026-02-15,2026-02-26,,,
DEATHKNIGHT,Blood,250,1217096,Ethereal Protection,BUFF,4,1,100.0,0.0,0.0,0.0,933.39,2026-02-15,2026-02-26,,consumables,R8
DEATHKNIGHT,Blood,250,57723,Exhaustion,DEBUFF,178,40,100.0,0.0,0.0,0.0,679.8,2026-02-26,2026-09-24,,,
DEATHKNIGHT,Blood,250,390435,Exhaustion,DEBUFF,53,3,100.0,0.0,0.0,0.0,600.92,2026-02-15,2026-09-14,,,
DEATHKNIGHT,Blood,250,440739,Expelling Shield,DEBUFF,2477,5,0.0,0.0,0.0,100.0,1.45,2026-03-13,2026-09-24,,,
DEATHKNIGHT,Blood,250,441416,Exterminate,BUFF,5976,32,100.0,0.0,0.0,0.0,47.43,2026-02-14,2026-09-24,,utility,R9
DEATHKNIGHT,Blood,250,1296714,Faith in Ula'tek,BUFF,103,3,100.0,0.0,0.0,0.0,38.05,2026-09-07,2026-09-16,,consumables,R8
DEATHKNIGHT,Blood,250,327092,Famine,DEBUFF,157,5,0.0,0.0,0.0,100.0,6.46,2026-03-30,2026-09-20,,,
DEATHKNIGHT,Blood,250,1266299,Fanatical Inspiration,BUFF,174,7,100.0,0.0,0.0,0.0,46.57,2026-03-22,2026-08-26,,consumables,R8
DEATHKNIGHT,Blood,250,1266300,Fanatically Inspired,BUFF,68,2,0.0,100.0,0.0,0.0,45.28,2026-04-04,2026-04-10,,support,R5
DEATHKNIGHT,Blood,250,1242775,Farstrider's Step,BUFF,32,4,100.0,0.0,0.0,0.0,86.32,2026-04-26,2026-09-22,,movement,R4
DEATHKNIGHT,Blood,250,264689,Fatigued,DEBUFF,130,28,100.0,0.0,0.0,0.0,635.63,2026-02-15,2026-09-22,,,
DEATHKNIGHT,Blood,250,274741,Ferocity of the Frostwolf,BUFF,9,3,100.0,0.0,0.0,0.0,192.56,2026-09-07,2026-09-08,,consumables,R8
DEATHKNIGHT,Blood,250,458123,Festering Scythe,BUFF,2,1,100.0,0.0,0.0,0.0,26.56,2026-04-26,2026-04-26,,utility,R9
DEATHKNIGHT,Blood,250,1241077,Festering Scythe,BUFF,1,1,100.0,0.0,0.0,0.0,,2026-04-26,2026-04-26,,utility,R9
DEATHKNIGHT,Blood,250,1276677,Fiber of Living Agony,BUFF,126,4,100.0,0.0,0.0,0.0,46.53,2026-04-10,2026-09-18,,consumables,R8
DEATHKNIGHT,Blood,250,43308,Find Fish,BUFF,4,4,100.0,0.0,0.0,0.0,,2026-04-26,2026-09-18,,consumables,R8
DEATHKNIGHT,Blood,250,2383,Find Herbs,BUFF,2,2,100.0,0.0,0.0,0.0,,2026-04-26,2026-08-24,,consumables,R8
DEATHKNIGHT,Blood,250,1250491,Find High-Value Beasts,BUFF,2,2,100.0,0.0,0.0,0.0,,2026-08-03,2026-09-08,,consumables,R8
DEATHKNIGHT,Blood,250,1256697,Find Lumber,BUFF,3,3,100.0,0.0,0.0,0.0,,2026-04-15,2026-09-16,,consumables,R8
DEATHKNIGHT,Blood,250,2580,Find Minerals,BUFF,12,8,100.0,0.0,0.0,0.0,865.77,2026-08-10,2026-09-18,,consumables,R8
DEATHKNIGHT,Blood,250,273104,Fireblood,BUFF,9,2,100.0,0.0,0.0,0.0,188.63,2026-08-09,2026-08-31,,utility,R9
DEATHKNIGHT,Blood,250,1224863,Five Star Review!,DEBUFF,15,8,100.0,0.0,0.0,0.0,,2026-03-13,2026-09-20,,,
DEATHKNIGHT,Blood,250,431971,Flask of Tempered Aggression,BUFF,34,1,100.0,0.0,0.0,0.0,1919.74,2026-03-18,2026-04-18,consumables,consumables,R8
DEATHKNIGHT,Blood,250,1235057,Flask of Thalassian Resistance,BUFF,1,1,100.0,0.0,0.0,0.0,,2026-04-15,2026-04-15,,utility,R9
DEATHKNIGHT,Blood,250,1235110,Flask of the Blood Knights,BUFF,11,6,100.0,0.0,0.0,0.0,1198.53,2026-08-22,2026-09-16,,consumables,R8
DEATHKNIGHT,Blood,250,1235108,Flask of the Magisters,BUFF,4,1,100.0,0.0,0.0,0.0,2431.46,2026-09-02,2026-09-09,,consumables,R8
DEATHKNIGHT,Blood,250,1235111,Flask of the Shattered Sun,BUFF,112,8,100.0,0.0,0.0,0.0,2052.18,2026-04-25,2026-09-24,,consumables,R8
DEATHKNIGHT,Blood,250,404464,Flight Style: Skyriding,BUFF,10,5,100.0,0.0,0.0,0.0,456.75,2026-08-10,2026-09-20,,consumables,R8
DEATHKNIGHT,Blood,250,1295582,Focus of Ula'tek,BUFF,198,2,100.0,0.0,0.0,0.0,7.93,2026-09-14,2026-09-16,,activeMitigation,R7
DEATHKNIGHT,Blood,250,1252487,Focused Hunt,BUFF,976,11,100.0,0.0,0.0,0.0,46.32,2026-03-13,2026-09-23,,consumables,R8
DEATHKNIGHT,Blood,250,1297908,Font of Venomous Rage,DEBUFF,1,1,0.0,0.0,0.0,100.0,,2026-09-12,2026-09-12,,,
DEATHKNIGHT,Blood,250,1269922,Food,BUFF,3,1,100.0,0.0,0.0,0.0,2794.89,2026-09-07,2026-09-09,,consumables,R8
DEATHKNIGHT,Blood,250,1232065,Food & Drink,BUFF,16,3,100.0,0.0,0.0,0.0,44.34,2026-04-17,2026-09-14,,consumables,R8
DEATHKNIGHT,Blood,250,1242223,Forbidden Knowledge,BUFF,1,1,100.0,0.0,0.0,0.0,,2026-04-26,2026-04-26,,utility,R9
DEATHKNIGHT,Blood,250,1282570,Forbidden Ritual,BUFF,2,1,100.0,0.0,0.0,0.0,45.24,2026-04-26,2026-04-26,,utility,R9
DEATHKNIGHT,Blood,250,1256576,Forbidden Sacrifice,BUFF,3,1,100.0,0.0,0.0,0.0,13.46,2026-04-26,2026-04-26,,utility,R9
DEATHKNIGHT,Blood,250,207203,Frost Shield,BUFF,97915,69,100.0,0.0,0.0,0.0,1.82,2026-02-14,2026-09-24,,defensives,R1
DEATHKNIGHT,Blood,250,1254520,Gelatinous Protection,BUFF,228,4,100.0,0.0,0.0,0.0,68.69,2026-03-18,2026-05-11,,defensives,R1
DEATHKNIGHT,Blood,250,434153,Gift of the San'layn,BUFF,570,42,100.0,0.0,0.0,0.0,98.7,2026-03-22,2026-09-22,,utility,R9
DEATHKNIGHT,Blood,250,1254907,Gooey,DEBUFF,55,4,100.0,0.0,0.0,0.0,284.45,2026-03-18,2026-05-11,,,
DEATHKNIGHT,Blood,250,273977,Grip of the Dead,DEBUFF,67917,68,0.0,0.0,0.0,100.0,2.55,2026-02-14,2026-09-24,softCC,,
DEATHKNIGHT,Blood,250,404184,Ground Skimming,BUFF,3,2,100.0,0.0,0.0,0.0,,2026-09-07,2026-09-18,,consumables,R8
DEATHKNIGHT,Blood,250,460531,Harnessed Starlight,BUFF,2,1,100.0,0.0,0.0,0.0,,2026-02-21,2026-02-26,,defensives,R1
DEATHKNIGHT,Blood,250,1252825,Harsh Winds,DEBUFF,54,6,100.0,0.0,0.0,0.0,46.07,2026-03-13,2026-09-18,,,
DEATHKNIGHT,Blood,250,1252486,Hasty Hunt,BUFF,1198,11,100.0,0.0,0.0,0.0,37.23,2026-03-13,2026-09-24,,consumables,R8
DEATHKNIGHT,Blood,250,1295900,Hasty Ritual,BUFF,88,8,100.0,0.0,0.0,0.0,90.05,2026-09-08,2026-09-23,,consumables,R8
DEATHKNIGHT,Blood,250,1262753,Heart of Ancient Hunger,BUFF,164,6,100.0,0.0,0.0,0.0,35.06,2026-04-15,2026-08-04,,consumables,R8
DEATHKNIGHT,Blood,250,206930,Heart Strike,DEBUFF,34142,73,0.0,0.0,0.0,100.0,4.02,2026-02-14,2026-09-24,softCC,,
DEATHKNIGHT,Blood,250,460501,Heart Strike,DEBUFF,4545,64,0.0,0.0,0.0,100.0,43.32,2026-02-14,2026-09-23,,,
DEATHKNIGHT,Blood,250,1269056,Hearty Vilebranch Stew,BUFF,2,2,100.0,0.0,0.0,0.0,,2026-04-20,2026-08-10,,consumables,R8
DEATHKNIGHT,Blood,250,1232078,Hearty Well Fed,BUFF,2,1,100.0,0.0,0.0,0.0,2754.38,2026-04-29,2026-04-29,,consumables,R8
DEATHKNIGHT,Blood,250,1233712,Hearty Well Fed,BUFF,5,1,100.0,0.0,0.0,0.0,2800.86,2026-09-02,2026-09-09,,consumables,R8
DEATHKNIGHT,Blood,250,1233724,Hearty Well Fed,BUFF,2,2,100.0,0.0,0.0,0.0,,2026-04-15,2026-08-19,,consumables,R8
DEATHKNIGHT,Blood,250,1285644,Hearty Well Fed,BUFF,9,2,100.0,0.0,0.0,0.0,1941.42,2026-04-29,2026-09-22,,consumables,R8
DEATHKNIGHT,Blood,250,1305153,Hearty Well Fed,BUFF,1,1,100.0,0.0,0.0,0.0,,2026-09-16,2026-09-16,,consumables,R8
DEATHKNIGHT,Blood,250,273947,Hemostasis,BUFF,28903,74,100.0,0.0,0.0,0.0,10.33,2026-02-14,2026-09-24,,activeMitigation,R7
