aura_type,spell_id,name,applications
DEBUFF,270495,Healing Tide,2473
BUFF,198533,Soothing Mist,2388
BUFF,19483,Immolation,2374
DEBUFF,1249645,Null Sunder,2350
BUFF,388841,Spellbound Weapon,2223
DEBUFF,1297086,Necrotic Bolt,2187
BUFF,325174,Spirit Link Totem,2154
BUFF,30151,Pursuit,2125
DEBUFF,59638,Frostbolt,2113
BUFF,1303366,Venom Burst,2030
BUFF,453773,Pact of the Apocalypse,2025
DEBUFF,460501,Heart Strike,1985
DEBUFF,1253054,Intimidating Shout,1783
BUFF,157348,Call Lightning,1755
DEBUFF,157375,Stormfury,1723
DEBUFF,1257746,Radiant Scar,1697
DEBUFF,1258508,Intimidation,1667
DEBUFF,3600,Earthbind,1628
BUFF,377589,Ghoulish Frenzy,1615
DEBUFF,1292107,Frostbolt,1605
BUFF,1252204,Leech Veil,1538
BUFF,1280386,Transfusion,1534
DEBUFF,1216571,Fel Missiles,1507
DEBUFF,394976,Mind Sear,1501
BUFF,1307098,Gorge,1465
BUFF,434242,Blood Clot,1458
BUFF,439209,Blood Clot,1458
DEBUFF,1247975,Lightscar Flare,1400
DEBUFF,1297701,Rotten Ground,1399
DEBUFF,1283719,Fire Breath,1391
BUFF,391031,Stormcloud Barrier,1386
DEBUFF,1252406,Dreadbellow,1358
DEBUFF,1264188,Unstable Singularity,1346
DEBUFF,193473,Mind Flay,1317
DEBUFF,1216944,Xal'atath's Gift,1315
BUFF,1241217,Shredding Claws,1310
BUFF,264667,Primal Rage,1293
BUFF,343737,Soothing Breath,1292
DEBUFF,1308518,Laced Edge,1262
DEBUFF,1306550,Blood Sacrifice,1248
BUFF,1293101,Shadow Bite,1245
DEBUFF,373692,Inferno,1224
DEBUFF,1262509,Chains of Subjugation,1213
BUFF,389032,Toxic,1203
BUFF,1307526,Bloodletting,1194
BUFF,1264623,Tranquility,1192
BUFF,1282745,Null Sunder,1177
DEBUFF,1238247,Shredding Claws,1173
BUFF,1253462,Waking Nightmare,1172
BUFF,1246821,Searing Magma,1162
DEBUFF,1255310,Radiant Scar,1151
BUFF,1214966,Fel Infused,1145
DEBUFF,1259255,Spirit Rend,1130
BUFF,260249,Bloodseeker,1123
DEBUFF,1255503,Brilliant Dispersion,1083
DEBUFF,1257088,Necrotic Wave,1079
BUFF,1221063,Xal'atath's Gift,1060
DEBUFF,1246446,Null Reaction,1053
DEBUFF,1238076,Thornblade,1025
BUFF,1264670,Devouring Frenzy,1021
BUFF,1257078,Corespark Surge,1012
DEBUFF,1238687,Feast of Misery,1006
DEBUFF,440328,Xal'atath's Gift,1003
BUFF,269935,Bound by Shadow,990
DEBUFF,1249806,Arcing Mana,989
DEBUFF,472777,Gunk Splatter,981
DEBUFF,91800,Gnaw,972
DEBUFF,118297,Immolate,965
BUFF,1263783,Holy Echo,959
DEBUFF,1267894,Savage Leap,949
DEBUFF,153757,Fan of Blades,925
DEBUFF,1254338,Ignition,921
DEBUFF,1258459,Rotting Strikes,921
DEBUFF,1253541,Scorching Ray,915
DEBUFF,468659,Throw Axe,906
BUFF,1255570,Spectral Slash,893
DEBUFF,1264299,Blight,883
BUFF,1241219,Matriarch's Vigil,878
DEBUFF,1254672,Fiery Talon,873
DEBUFF,1300704,Fixate,870
DEBUFF,1253543,Scorching Ray,867
BUFF,444490,Hydrobubble,856
BUFF,455489,Gloom Slash,844
DEBUFF,396716,Splinterbark,841
DEBUFF,1258434,Curse of Torment,837
BUFF,1282959,Gatekeeper,832
DEBUFF,1246957,Primal Echo,817
DEBUFF,1263775,Fixate,813
BUFF,1264036,Battle Rage,812
DEBUFF,1216133,Shear Armor,809
DEBUFF,377009,Deafening Screech,791
BUFF,1265402,Frostbite,783
DEBUFF,1259365,Bloodthorn Roots,768
DEBUFF,1254475,Blade Rush,767
DEBUFF,1216834,Acidic Demise,761
BUFF,1254671,Fiery Talon,751
DEBUFF,384823,Inferno,736
DEBUFF,1291399,Serrated Charge,729
DEBUFF,1303596,Siphon Energy,724
DEBUFF,474129,Splattering Spew,723
BUFF,1302296,Siphon the Weak,720
BUFF,1264106,Felstorm,711
DEBUFF,1236747,Verdant Stomp,708
BUFF,1254676,Wind Claws,698
DEBUFF,1219631,Fel-Infused Freight,694
BUFF,1214980,Health Funnel,693
DEBUFF,1282272,Splattered,691
DEBUFF,1264974,Veiled Presence,690
DEBUFF,1244907,Runic Glaive,685
DEBUFF,1293133,Lingering Storm,672
DEBUFF,381518,Winds of Change,670
DEBUFF,1258445,Frostbane Slash,669
DEBUFF,1237858,Ruptured Earth,667
BUFF,1252218,Leech Veil,662
DEBUFF,391977,Oversurge,661
DEBUFF,1263399,Oozing Slam,660
DEBUFF,1307571,Envenom,660
DEBUFF,1215897,Devouring Entropy,653
DEBUFF,1259116,Blight Splatter,652
DEBUFF,1241464,Glacial Tomb,646
DEBUFF,1281636,Creeping Void,642
DEBUFF,388940,Vicious Ambush,635
BUFF,377389,Raging Screech,632
BUFF,1297696,Healing Breeze,623
DEBUFF,1297055,Necrotic Bolt,619
BUFF,1222598,Murder in a Row,617
DEBUFF,154150,Light Ray,613
DEBUFF,1277557,Burning Radiance,601
DEBUFF,1288457,Gust,598
DEBUFF,386181,Mana Bomb,597
DEBUFF,1258437,Permeating Cold,593
DEBUFF,1262630,Arcane Spill,590
BUFF,1263775,Fixate,590
DEBUFF,1238084,Spore Spines,587
DEBUFF,24394,Intimidation,585
DEBUFF,1255187,Holy Fire,584
DEBUFF,389011,Overwhelming Power,578
DEBUFF,1305201,Excavating Blast,571
DEBUFF,474545,Murder in a Row,565
DEBUFF,269936,Fixate,564
DEBUFF,266923,Galvanized,563
BUFF,1269406,Singular Focus,562
DEBUFF,1216298,Soul Torment,558
BUFF,1306333,Ravenous Claws,555
BUFF,1254306,Power Word: Shield,553
DEBUFF,89766,Axe Toss,542
DEBUFF,1216963,Spore Dispersal,542
DEBUFF,1222103,Nether Dash,541
DEBUFF,1214089,Arcane Residue,539
BUFF,1257914,Undying Resolve,538
BUFF,1257716,Reanimation,537
BUFF,1277451,Arcane Zap,537
DEBUFF,1276586,Bedrock Surge,530
DEBUFF,397077,Chillstorm,529
DEBUFF,1262055,Eclipsed,521
DEBUFF,1246666,Infected Pinions,519
BUFF,467120,Ignited Embers,518
BUFF,1238158,Lightbloom Pollination,515
DEBUFF,1307372,Fiery Demise,515
BUFF,1222105,Nether Dash,512
BUFF,154159,Energize,500
DEBUFF,1225015,Suppression Zone,499
DEBUFF,1216042,Squall Leap,497
BUFF,1266241,Freight Explosion,491
DEBUFF,1218187,Fel Beam,490
DEBUFF,1303486,Caustic Stomp,486
DEBUFF,1250023,Protected,478
DEBUFF,1238439,Razor Dive,470
BUFF,355147,Fish Invigoration,467
DEBUFF,1259731,Cries of the Fallen,463
DEBUFF,1259205,Cryopatch,462
BUFF,90328,Spirit Walk,459
DEBUFF,1268733,Mind Flay,457
DEBUFF,1277597,Radiant Scar,456
BUFF,1239422,Blighted Arrow,454
BUFF,1253686,Spellguard's Protection,454
DEBUFF,1241058,Grievous Thrash,450
DEBUFF,385536,Flaming Barrage,445
BUFF,1257100,Circuit Sense,444
BUFF,1249737,Feast of Misery,442
DEBUFF,205644,Force of Nature,439
BUFF,270502,Hunting Leap,439
DEBUFF,388866,Mana Void,439
DEBUFF,1298899,Demoralizing Shout,439
DEBUFF,381862,Inferno Spit,437
DEBUFF,1238801,Insatiable Hunger,437
DEBUFF,1258435,Sunderstrike,436
DEBUFF,467068,Energy Infusion,435
BUFF,428866,Power of Nature,434
DEBUFF,1216300,Cutpurse,428
DEBUFF,1262441,Eruption,428
DEBUFF,1224104,Void Secretions,427
BUFF,1293059,Hatch,427
BUFF,1310319,Bolster,427
BUFF,433656,Black Blood,425
BUFF,1254670,Rushing Winds,424
BUFF,1216970,Back to Work!,422
BUFF,1255765,Blood Frenzy,420
DEBUFF,1251634,[DNT] Active Conduit,419
DEBUFF,1297876,Triple Shot,416
BUFF,394754,Brief Outing,415
BUFF,1285445,Arcane Explosion,415
DEBUFF,1295427,Flay,412
DEBUFF,373693,Living Bomb,410
BUFF,1216459,Ephemeral Bloodlust,408
DEBUFF,263840,Furious Bite,407
DEBUFF,1222484,Poison Pool,398
DEBUFF,272388,Shadow Barrage,395
DEBUFF,1230690,Cosmic Crush,395
BUFF,1229433,Fel Crazed,394
BUFF,449001,Power of Nature,393
BUFF,1300871,Corrupted Lifeforce,389
DEBUFF,1303267,Gilded Destruction,389
DEBUFF,1262519,Backstab,388
DEBUFF,474234,Burning Steps,387
BUFF,1310396,Serpent's Stormcall,387
DEBUFF,1249815,Transference,386
BUFF,1273356,Solar Barrier,386
DEBUFF,1300372,Cosmic Crash,386
DEBUFF,1276648,Bone Infusion,384
DEBUFF,1235574,Lightblossom Beam,372
DEBUFF,1253779,Spectral Decay,372
DEBUFF,1253446,Solar Flame,371
BUFF,1258217,Solar Fire,371
DEBUFF,1269283,Suppression Field,371
DEBUFF,273274,Polarized Field,370
DEBUFF,1253709,Neural Link,370
DEBUFF,1307700,Carrion Burst,367
DEBUFF,374350,Energy Bomb,366
DEBUFF,1259187,Cryoburst,366
DEBUFF,1263523,Overload,366
DEBUFF,1300503,Spiteful Hunt,361
DEBUFF,1284958,Cosmic Sting,357
DEBUFF,1251698,Fixate,356
DEBUFF,1294569,Paralyzing Shots,356
DEBUFF,1213658,Unsatisfied Customer,354
DEBUFF,1264246,Shade Shift,352
DEBUFF,1311136,Sharp Nail,352
DEBUFF,1300885,Ritual of the Fang,351
DEBUFF,372820,Scorched Earth,349
DEBUFF,1251775,Final Pursuit,347
DEBUFF,1259683,Rend Souls,347
BUFF,1214487,Awaiting Service,345
BUFF,1249661,Feral Rage,345
DEBUFF,270499,Frost Shock,341
DEBUFF,1224299,Astral Grasp,341
DEBUFF,1215161,Void Destruction,340
DEBUFF,1305234,Cold Claws,340
DEBUFF,1308113,Arrow Barrage,340
DEBUFF,388984,Vicious Ambush,339
DEBUFF,1308148,Cytotoxin,339
BUFF,1246865,Bestial Wrath,338
DEBUFF,1251797,Final Pursuit,337
BUFF,1314884,Hunting Leap,337
BUFF,1253707,Neural Link,336
BUFF,1249321,Marching Cosmetic,334
DEBUFF,1265426,Discordant Beam,330
DEBUFF,1309980,Cursed,328
BUFF,270496,Healing Tide,326
BUFF,1223936,Synaptic Nexus,324
DEBUFF,1261799,Saronite Sludge,324
BUFF,1255462,Call of the Void,323
DEBUFF,1242869,Echoing Maul,322
DEBUFF,1215985,Fel Beam,320
DEBUFF,1254689,Bloodcrazed,320
DEBUFF,1252675,Crush Souls,318
DEBUFF,1250937,Toxic Spew,316
DEBUFF,1300894,Ritual Venom,316
BUFF,1298902,Proof of Mastery,315
BUFF,90361,Spirit Mend,313
BUFF,1221061,Xal'atath's Gift,313
DEBUFF,1271433,Lightscar Flare,312
DEBUFF,474351,Shreddation Sawblade,311
BUFF,1300618,Assimilation,310
BUFF,1258448,Necromantic Infusion,308
DEBUFF,1251568,Drain Soul,306
BUFF,1310324,Mending Void,306
DEBUFF,1257745,Searing Rend,305
DEBUFF,1234846,Toxic Spores,304
DEBUFF,1263971,Mind-Numbing Poison,303
DEBUFF,1264186,Shadowbind,303
DEBUFF,1307205,Earthbound's Imprint,303
DEBUFF,468924,Bladestorm,301
BUFF,390938,Agitation,300
DEBUFF,1214650,Fel Lightning,299
BUFF,1271385,Spouting Floret,299
DEBUFF,376085,Champion's Spear Chain,297
DEBUFF,1239825,Lightfire,297
DEBUFF,1252777,Soulbind,295
BUFF,388958,Riftbreath,294
DEBUFF,1252875,Eclipsing Step,294
BUFF,1292892,Control Venom,294
DEBUFF,1225792,Runic Mark,293
DEBUFF,1297422,Deadly Venom,293
DEBUFF,1243905,Unstable Energy,291
BUFF,1271678,Shade Bomb,288
DEBUFF,1249712,Venomous Spit,284
DEBUFF,1249020,Eclipsing Step,283
DEBUFF,473789,Fetid Bile,282
BUFF,1254826,Bloodsurge,281
DEBUFF,1302010,Blade Dance,281
DEBUFF,1281657,Blistering Smite,279
DEBUFF,373688,Frost Overload,278
BUFF,1254815,Well Fed,278
BUFF,1270491,Unholy Devotion,278
BUFF,1254678,Wrathful Wind,277
DEBUFF,1306232,Septic Spatter,275
DEBUFF,466559,Flaming Updraft,274
DEBUFF,1237038,Voidstalker Sting,274
DEBUFF,1247052,Lightbloom's Might,274
DEBUFF,1276485,Sparkburn,274
DEBUFF,1264257,Umbral Waves,273
DEBUFF,386201,Corrupted Mana,272
DEBUFF,1294870,Fel-Scarred Earth,272
DEBUFF,1222692,Toxic Aura,271
DEBUFF,1284633,Stygian Ichor,270
BUFF,1306517,Blood Sacrifice,269
DEBUFF,1219491,Debilitating Shriek,267
DEBUFF,1250686,Twisting Obscurity,266
DEBUFF,1306736,Spit Gold,266
BUFF,1309970,Health Funnel,266
DEBUFF,1262772,Rime Blast,265
BUFF,1263636,Belch Spores,265
DEBUFF,1301508,Boneslicer,265
BUFF,1216589,Heartstop Poison,264
BUFF,1239424,Blighted Arrow,264
BUFF,1267274,Void Portal,264
BUFF,1254690,Bloodcrazed,263
DEBUFF,1299189,Synchronized Venom,263
BUFF,1216284,Stealth,262
DEBUFF,1235125,Hearty Bellow,262
DEBUFF,1254380,Shear,262
BUFF,1257546,Vigilant Defense,262
DEBUFF,459753,Ravenous Leap,260
DEBUFF,245742,Shadow Pounce,259
DEBUFF,1251772,Reflux Charge,259
DEBUFF,265773,Spit Gold,258
DEBUFF,1254043,Eternal Suffering,257
DEBUFF,1258826,Torrent of Misery,257
DEBUFF,1233535,Shred Defense,256
DEBUFF,266512,Consume Charge,255
DEBUFF,1260709,Vilebranch Sting,255
DEBUFF,1263716,Frostbite,255
DEBUFF,1287450,Condensed Mass,255
BUFF,1277340,Shadowmend,254
DEBUFF,1280330,Rift Essence,254
DEBUFF,1238294,Disorienting Screech,253
BUFF,1254010,Eternal Suffering,253
BUFF,1214260,Elated!,251
DEBUFF,1263983,Condensed Mass,250
DEBUFF,1246653,Caustic Phlegm,248
DEBUFF,1261286,Throw Saronite,248
BUFF,1282716,Tainted Corpse,248
DEBUFF,472118,Ignited Embers,245
BUFF,1269409,Tenacity of the Shul'ka,245
BUFF,1271543,Stoneskin,245
DEBUFF,1264042,Arcane Spill,244
DEBUFF,472054,Reckless Leap,242
DEBUFF,473649,Shattered Phial,241
DEBUFF,1258997,Plungegrip,238
DEBUFF,1311695,Shred Armor,237
DEBUFF,1257836,Reflux Charge,236
DEBUFF,1301851,Bloodthirsty Axe,236
BUFF,1265996,Void Barrier,234
DEBUFF,8122,Psychic Scream,233
DEBUFF,1255629,Spectral Residue,233
DEBUFF,1252733,Gale Surge,232
DEBUFF,1257094,Pulverized,232
BUFF,24450,Prowl,231
DEBUFF,1282244,Vile Bite,231
BUFF,1294180,Lesser Ghoul,231
DEBUFF,1308865,Infest,230
BUFF,1310739,Accumulate Charge,229
DEBUFF,1216074,Spill Zone,228
DEBUFF,1238368,Lightmaw Beams,228
BUFF,427359,Defend,226
DEBUFF,1242135,Grievous Gash,226
DEBUFF,1250043,Melt Armor,224
DEBUFF,1282053,Arcane Residue,224
BUFF,1296518,Rumbling Ward,223
DEBUFF,154043,Blazing Ground,222
DEBUFF,377344,Peck,221
DEBUFF,1239860,Cryo Surge,219
BUFF,373972,Blaze of Glory,218
DEBUFF,1235828,Light-Scorched Earth,218
BUFF,1269410,Might of the Sunwell Offensive,218
DEBUFF,1216848,Fire Spit,217
DEBUFF,1310599,Electrical Discharge,217
BUFF,431985,Black Blood,216
BUFF,1264905,Spirit of the Thicket,216
DEBUFF,1295455,Infernal Crush,216
DEBUFF,1300684,Hex Muck,216
BUFF,1309499,Reinforced,216
DEBUFF,1283247,Reckless Leap,215
BUFF,181089,Encounter Event,214
BUFF,1241226,Bloodrush,212
DEBUFF,1289258,Corrosive Essence,212
BUFF,1309385,Pool of Darkness,212
BUFF,1257781,Shredding Talons,210
DEBUFF,376997,Savage Peck,209
DEBUFF,1253979,Gust Shot,209
DEBUFF,1265650,Anguish,208
BUFF,1249801,Arcing Mana,206
DEBUFF,1294557,Piercing Hiss,205
DEBUFF,460781,Big Bada BOOM!,204
BUFF,1265589,Grim Chorus,203
DEBUFF,1253978,Gust Shot,199
DEBUFF,1291815,Induction Field,198
DEBUFF,444826,Chains of Ice,197
BUFF,372749,Ice Shield,196
BUFF,383014,Poison Cleansing,196
DEBUFF,1216076,Nauseous,196
DEBUFF,470966,Bladestorm,194
DEBUFF,274387,Absorbed in Darkness,193
BUFF,381525,Roaring Firebreath,193
BUFF,471038,Bladestorm,193
DEBUFF,471038,Bladestorm,193
DEBUFF,1262506,Leeching Void,193
DEBUFF,246026,Void Bomb,192
DEBUFF,341118,Trample,192
DEBUFF,389007,Wild Energy,192
DEBUFF,1216825,Poison Spray,192
DEBUFF,1235549,Glacial Torment,191
DEBUFF,1263542,Mass Void Infusion,189
BUFF,1254336,Ignition,188
DEBUFF,1252828,Void Gash,187
DEBUFF,1262930,Rotting Strikes,186
DEBUFF,1234681,Ravenous Bellow,185
DEBUFF,1251345,Blight Resin,185
DEBUFF,1253844,Withering Soul,185
BUFF,1258798,Dread Pulse,183
BUFF,1263970,Heaven's Lance,183
DEBUFF,1284627,Umbral Splinters,183
DEBUFF,1306366,Lightning Torrent,183
DEBUFF,1252062,Entropic Leech,182
DEBUFF,1262517,Relentless Pursuit,182
DEBUFF,1240989,Void Crush,180
DEBUFF,1299080,Death Rattle,180
BUFF,1306668,Toxic Breath,180
DEBUFF,1228198,Corroding Spittle,175
DEBUFF,1252417,Nullwark Blast,175
DEBUFF,1264453,Lumbering Fixation,175
DEBUFF,1269631,Entropy Orb,175
DEBUFF,1213803,Nailed,174
BUFF,1216449,Arrow Rain,174
DEBUFF,1255335,Searing Rend,174
DEBUFF,1262411,Ritual Firebrand,174
BUFF,1254566,Dire Screech,172
DEBUFF,1261921,Cryoshards,172
DEBUFF,1282955,Storming Soulfont,172
DEBUFF,1217004,Ferocious Pounce,170
DEBUFF,1300243,Brutalize,168
DEBUFF,1305225,Tectonic Strike,168
DEBUFF,265914,Molten Gold,167
DEBUFF,388544,Barkbreaker,167
DEBUFF,1216462,Precise Cut,167
BUFF,263958,A Knot of Snakes,166
DEBUFF,1214352,Fire Bomb,166
DEBUFF,1253520,Burning Claws,166
BUFF,163177,Black Ox Statue,165
DEBUFF,1293048,Serpentstorm,165
DEBUFF,1243752,Icy Slick,164
BUFF,1302897,Consume Lifeforce,164
DEBUFF,1264687,Devouring Strike,163
BUFF,474766,Same-Day Delivery,162
DEBUFF,1251023,Spiritbreaker,160
BUFF,1253367,Solar Flare,160
DEBUFF,1257105,Erratic Zap,160
DEBUFF,1295035,Glaive Toss,160
DEBUFF,1309964,Harsh Winter,160
DEBUFF,473784,Fetid Spew,159
BUFF,1214922,Fel Rage,159
DEBUFF,1253511,Burning Pursuit,159
DEBUFF,1257898,Ancestral Crush,159
DEBUFF,389033,Lasher Toxin,157
DEBUFF,1214038,Ethereal Shackles,157
DEBUFF,1262508,Void Infusion,157
BUFF,1265561,Arcane Blade,157
DEBUFF,1297682,Drain Life,157
BUFF,1252076,Dark Beckoning,156
DEBUFF,1263292,Shrink,156
BUFF,1297676,Punishing Might,156
DEBUFF,1252429,Nullwark Blast,155
DEBUFF,1254175,Cries of the Fallen,155
DEBUFF,116947,Earthbind,154
BUFF,1254092,Attuned to the Nether,154
BUFF,246943,Dark Bond,153
DEBUFF,465830,Warp Blood,153
DEBUFF,1234802,Fertile Loam,152
DEBUFF,1253834,Curse of Darkness,152
BUFF,428735,Harmony of the Grove,151
DEBUFF,1297781,Sudden Rupture,151
BUFF,372743,Ice Shield,150
DEBUFF,1257126,Corespark Overload,150
BUFF,1306893,Unstable Totem,149
BUFF,388796,Germinate,148
BUFF,1248015,Astral Scouting,148
DEBUFF,64695,Earthgrab,147
BUFF,1238053,Mother's Wrath,147
BUFF,1216637,Gore Whirl,145
DEBUFF,1300227,Burrowquake,145
DEBUFF,1298304,Dark Revelation,144
BUFF,1216250,Arcane Salvo,143
BUFF,1226120,Poison Splash,143
DEBUFF,1249595,Radiant Barrier,140
BUFF,1265977,Consuming Shadows,140
BUFF,154149,Energize,139
BUFF,1217930,Imprison,139
DEBUFF,1245592,Torturous Extract,137
BUFF,1259132,Plague Frenzy,137
DEBUFF,1309919,Frigid Roar,137
BUFF,269928,Vigilant Defense,136
DEBUFF,1245175,Voidbolt,136
DEBUFF,1294845,Corrosive Fangs,136
DEBUFF,1296052,Imbued Conduction,136
BUFF,381517,Winds of Change,134
DEBUFF,1222642,Hulking Claw,133
DEBUFF,1231811,Uncontrolled,132
BUFF,1259677,Rend Souls,132
DEBUFF,1224401,Cosmic Radiation,131
DEBUFF,1251833,Soulrot,131
DEBUFF,1253965,Lightscarred,131
DEBUFF,1282055,Ethereal Shackles,131
DEBUFF,1218508,Disguised,130
BUFF,1309794,Blessing of Protection,130
DEBUFF,1247367,Earthquake,129
DEBUFF,1248138,Void Bomb,129
DEBUFF,1257877,Scathing Review,128
DEBUFF,1262596,Scourgelord's Brand,128
DEBUFF,266191,Whirling Axe,127
DEBUFF,1253739,Shred Flesh,126
DEBUFF,1282050,Arcane Beam,126
BUFF,1294849,Rattle,126
DEBUFF,1306669,Toxic Breath,126
DEBUFF,1248229,Void Infusion,125
BUFF,1294824,Defiled Slam,125
DEBUFF,466091,Searing Beak,124
BUFF,397264,Teleport Pad,123
DEBUFF,1246753,Lightsap,123
BUFF,1261299,Throw Saronite,123
BUFF,269976,Ancestral Fury,122
DEBUFF,1217973,Curse of Doom,122
DEBUFF,1256561,Crunch Armor,122
BUFF,1264499,Rift Tear,122
DEBUFF,1243741,Freezing Trap,121
DEBUFF,472338,Surveyed Ground,120
BUFF,1250805,Summoning Ritual,120
BUFF,1264505,Enveloping Darkness,120
DEBUFF,1300138,Void Beam,120
DEBUFF,372047,Steel Barrage,119
DEBUFF,384773,Flaming Embers,119
DEBUFF,1300877,Corruption,119
BUFF,1307602,Evolved,119
BUFF,1311987,Serpentine Gust,119
BUFF,1222721,Noxious Breath,118
DEBUFF,372865,Ritual of Blazebinding,117
DEBUFF,473898,Legion Strike,117
BUFF,1257155,Rain of Toads,117
DEBUFF,244588,Void Sludge,116
DEBUFF,1221130,Consuming Strikes,116
DEBUFF,1261540,Orebreaker,116
BUFF,1264196,Disintegrate,116
BUFF,355057,Cry of Mrrggllrrgg,115
DEBUFF,372963,Storm's Eye,115
DEBUFF,1241694,Locust Swarm,115
DEBUFF,1215803,Curse of Darkness,114
DEBUFF,1234570,Stellar Emission,114
DEBUFF,1244672,Nullzone,113
DEBUFF,1291468,Sunder Slam,113
DEBUFF,1308546,Venomous Slash,113
DEBUFF,1311979,Latent Hex,113
DEBUFF,272021,Erupting Darkness,112
DEBUFF,470038,Razorchoke Vines,112
DEBUFF,1252130,Unmake,112
DEBUFF,267618,Drain Fluids,111
DEBUFF,385518,Chillstorm,111
DEBUFF,381515,Stormslam,110
DEBUFF,1251813,Lingering Dread,109
BUFF,1306844,Totemic Ritual,109
DEBUFF,267494,Barrel Through,108
DEBUFF,472819,Razorchoke Vines,108
BUFF,1253028,Thicket's Trinity,108
DEBUFF,1263597,Rime Detonation,107
DEBUFF,153954,Cast Down,106
DEBUFF,267763,Wretched Discharge,106
DEBUFF,438599,Bleeding Jab,106
DEBUFF,1250953,Rift Sickness,106
BUFF,1252436,Void Lash,106
DEBUFF,1261276,Thornblade,106
DEBUFF,1289589,Lingering Storm,106
DEBUFF,376760,Gale Force,105
DEBUFF,473795,Poison Blades,105
DEBUFF,1216529,Shield Bash,105
DEBUFF,1216590,Heartstop Poison,105
BUFF,1216860,Bolstering Flames,105
BUFF,1248229,Void Infusion,105
DEBUFF,1266488,Open Wound,105
DEBUFF,468680,Crabsplosion,104
DEBUFF,1251554,Drain Soul,103
BUFF,1261776,Defensive Stance,103
DEBUFF,388392,Monotonous Lecture,102
BUFF,465127,Wind Up,102
BUFF,391723,Flame Breath,101
DEBUFF,267626,Desiccation,100
DEBUFF,372858,Searing Blows,100
BUFF,473794,Poison Blades,100
BUFF,1261011,Fan Of Thorns,100
BUFF,1263440,Void Slash,100
DEBUFF,1266381,Hooked Snare,100
DEBUFF,91797,Monstrous Blow,99
BUFF,1219551,Broken Bond,99
BUFF,1230289,Illicit Infusion,98
DEBUFF,1235542,Lightsower Dash,98
DEBUFF,1236289,Blizzard's Wrath,98
BUFF,1296671,Captain's Bulwark,98
DEBUFF,271555,Entomb,97
BUFF,271561,Wail of Mourning,97
BUFF,473663,Pulsing Shriek,97
BUFF,473672,Pulsing Shriek,97
DEBUFF,1217633,Corroding Spittle,97
BUFF,1298900,Brutal Slams,97
BUFF,1298901,Brutal Slams,97
BUFF,195181,Bone Shield,96
BUFF,1215872,Fel Beam,96
BUFF,1215961,Fel Beam,96
DEBUFF,1271623,Frost Nova,96
DEBUFF,372860,Searing Wounds,95
DEBUFF,1235865,Thornblade,95
BUFF,1262029,Glacial Overload,95
DEBUFF,1297792,Overwhelming Onslaught,95
DEBUFF,467620,Rampage,94
BUFF,1236550,Fel Detection,94
BUFF,1259772,Umbral Vortex,94
DEBUFF,1290030,A Knot of Snakes,94
DEBUFF,91807,Shambling Rush,93
BUFF,472556,Arrow Rain,93
BUFF,273272,Polarized Field,92
BUFF,1251204,Wrest Phantoms,92
DEBUFF,276031,Pit of Despair,91
BUFF,1253811,Fel Spray,91
DEBUFF,1302618,Vile Charge,91
BUFF,474478,Killing Spree,90
DEBUFF,1249478,Carrion Swoop,90
BUFF,1297763,Bestial Berserk,90
DEBUFF,1297796,Stunned,90
DEBUFF,1253531,Lens Flare,88
DEBUFF,270292,Purifying Flame,87
DEBUFF,1233398,Mad Shriek,87
DEBUFF,1260643,Barrage,87
